epoch,model_name,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_fall_recall,val_fall_f1,val_specificity,val_tn,val_fp,val_fn,val_tp
21,cnn,0.0001,0.07349000070035562,0.9715004621546678,0.2634714557266731,0.9101123595505618,0.9017749082661202,0.8176495190296947,0.8731576596694953,0.9663951120162932,3796,132,436,1955
22,cnn,0.0001,0.06759576369926319,0.9732463797884359,0.2041193925546856,0.9276784301313499,0.9235167916167257,0.917607695524885,0.9056759545923633,0.9338085539714868,3668,260,197,2194
23,cnn,0.0001,0.06765097395141131,0.973708534456198,0.2277299785815724,0.9197657857255895,0.9166380205240039,0.9594312003345881,0.9004906771344455,0.8956211812627292,3518,410,97,2294
24,cnn,0.0001,0.06225905532783106,0.9754544520899661,0.22472483554043196,0.9243551194809305,0.921248786590527,0.959012965286491,0.905608214849921,0.9032586558044806,3548,380,98,2293
25,cnn,0.0001,0.06018887258223639,0.9765328129814111,0.2261659357457677,0.921664820382972,0.9184212647795205,0.9544123797574237,0.9021545760031627,0.9017311608961304,3542,386,109,2282
26,cnn,0.0001,0.0595593566435177,0.9761733593509294,0.22487714080844345,0.9253046368096218,0.9222677441818765,0.9615223755750731,0.9069033530571992,0.9032586558044806,3548,380,92,2299
27,cnn,0.0001,0.0575086335216666,0.9766868645373318,0.21724272606676973,0.9210318088305112,0.9160591419777444,0.8954412379757424,0.8956285295963188,0.9366089613034623,3679,249,250,2141
28,cnn,5e-05,0.055543130322031335,0.9792030399507035,0.22138382198445145,0.9207153030542807,0.917464901350449,0.9544123797574237,0.901085883514314,0.90020366598778,3536,392,109,2282
29,cnn,5e-05,0.048821259887683,0.9820786689945569,0.20033554685544377,0.932267763886691,0.9287556460054426,0.9385194479297365,0.9129373474369405,0.9284623217922607,3647,281,147,2244
30,cnn,5e-05,0.0476955093796908,0.9822840710691177,0.20108437953959601,0.930843487893654,0.9274948217301149,0.946047678795483,0.9119129207821004,0.9215885947046843,3620,308,129,2262
31,cnn,5e-05,0.047737744411009225,0.9821300195131971,0.23592771424984302,0.9226143377116632,0.919709121670579,0.9677959012965287,0.9044361930818839,0.895112016293279,3516,412,77,2314
32,cnn,5e-05,0.04464186916560703,0.9826948752182397,0.21162520894044579,0.9306852350055389,0.9268829015609743,0.9284818067754078,0.9102091020910209,0.9320264765784114,3661,267,171,2220
33,cnn,5e-05,0.04464501260473821,0.983824586628325,0.23800151212810633,0.9218230732710871,0.9187495770357206,0.9611041405269761,0.9029469548133595,0.8979124236252546,3527,401,93,2298
34,cnn,5e-05,0.04219607527408804,0.9846461949265688,0.2264701592632837,0.9278366830194651,0.9244758297619116,0.9473023839397742,0.9085439229843562,0.9159877800407332,3598,330,126,2265
35,cnn,2.5e-05,0.041405025730344734,0.9841840402588066,0.2268006049369126,0.9298939705649628,0.9267255213017036,0.9539941447093266,0.9114885114885115,0.915224032586558,3595,333,110,2281
36,cnn,2.5e-05,0.04022306343794016,0.9851597001129712,0.21735337403960503,0.9316347523342301,0.928100432586649,0.9381012128816395,0.9121594143960959,0.9276985743380856,3644,284,148,2243
37,cnn,2.5e-05,0.036729025477833285,0.9865461641162576,0.22855101400741965,0.9286279474600412,0.9252039342859326,0.944374738603095,0.9092007247835716,0.9190427698574338,3610,318,133,2258
38,cnn,2.5e-05,0.03574163205994342,0.9873164218958611,0.24231983448875447,0.9249881310333914,0.9219788755728102,0.9627770807193643,0.9066561638440331,0.9019857433808554,3543,385,89,2302
39,cnn,2.5e-05,0.036266650797571014,0.9865975146348979,0.21523852596750223,0.930843487893654,0.9272413654547047,0.9360100376411543,0.9110523101974354,0.9276985743380856,3644,284,153,2238
40,cnn,2.5e-05,0.0386443343099608,0.9855191537434528,0.25246858766763014,0.9251463839215066,0.9222085173207892,0.9657047260560435,0.9070909448045571,0.9004582484725051,3537,391,82,2309
41,cnn,1.25e-05,0.03541449387698885,0.9872650713772209,0.23337083508288856,0.9276784301313499,0.9245333041548662,0.9560853199498118,0.9091270630344005,0.9103869653767821,3576,352,105,2286
42,cnn,1.25e-05,0.03478096134687481,0.9876758755263428,0.24655183464112485,0.9283114416838107,0.9253332742782927,0.9627770807193643,0.9104211983389361,0.9073319755600815,3564,364,89,2302
43,cnn,1.25e-05,0.03507469014561247,0.9875218239704221,0.2334989771769213,0.9287862003481564,0.9255523039605531,0.9519029694688415,0.9100359856057577,0.914714867617108,3593,335,115,2276
44,cnn,1.25e-05,0.03327525492618487,0.9878299270822636,0.2409985326220117,0.9279949359075803,0.9248736968432109,0.9569217900460059,0.9095607235142119,0.9103869653767821,3576,352,103,2288
