sequence_id,video_id,source_csv,label,label_name,sequence_index,start_frame,end_frame,start_frame_local,end_frame_local,valid_length,sequence_length,feature_dim,num_original_frames,is_padded,is_all_zero,zero_ratio,split
Fall_Fall_f_raw_b_1_B_D_0014__seq_0004,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,4,120,219,120,219,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0005,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,5,150,249,150,249,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0006,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,6,180,279,180,279,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0007,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,7,210,309,210,309,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0008,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,8,240,339,240,339,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0014__seq_0009,Fall_Fall_f_raw_b_1_B_D_0014,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0014_processed.csv,1,Fall,9,260,359,260,359,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0000,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,0,0,99,0,99,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0001,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,1,30,129,30,129,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0002,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,2,60,159,60,159,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0003,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,3,90,189,90,189,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0004,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,4,120,219,120,219,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0015__seq_0005,Fall_Fall_f_raw_b_1_B_D_0015,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0015_processed.csv,1,Fall,5,140,239,140,239,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0000,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,0,0,99,0,99,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0001,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,1,30,129,30,129,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0002,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,2,60,159,60,159,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0003,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,3,90,189,90,189,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0004,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,4,120,219,120,219,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0005,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,5,150,249,150,249,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0006,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,6,180,279,180,279,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0007,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,7,210,309,210,309,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0008,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,8,240,339,240,339,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0016__seq_0009,Fall_Fall_f_raw_b_1_B_D_0016,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0016_processed.csv,1,Fall,9,260,359,260,359,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0000,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,0,0,99,0,99,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0001,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,1,30,129,30,129,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0002,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,2,60,159,60,159,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0003,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,3,90,189,90,189,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0004,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,4,120,219,120,219,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0005,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,5,150,249,150,249,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0006,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,6,180,279,180,279,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0007,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,7,210,309,210,309,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0008,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,8,240,339,240,339,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0017__seq_0009,Fall_Fall_f_raw_b_1_B_D_0017,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0017_processed.csv,1,Fall,9,260,359,260,359,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0000,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,0,0,99,0,99,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0001,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,1,30,129,30,129,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0002,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,2,60,159,60,159,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0003,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,3,90,189,90,189,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0004,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,4,120,219,120,219,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0005,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,5,150,249,150,249,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0006,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,6,180,279,180,279,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0007,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,7,210,309,210,309,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0008,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,8,240,339,240,339,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0018__seq_0009,Fall_Fall_f_raw_b_1_B_D_0018,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0018_processed.csv,1,Fall,9,260,359,260,359,100,100,30,360,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0020__seq_0000,Fall_Fall_f_raw_b_1_B_D_0020,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0020_processed.csv,1,Fall,0,0,89,0,89,90,100,30,90,1,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0000,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,0,0,99,0,99,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0001,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,1,30,129,30,129,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0002,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,2,60,159,60,159,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0003,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,3,90,189,90,189,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0004,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,4,120,219,120,219,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0021__seq_0005,Fall_Fall_f_raw_b_1_B_D_0021,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0021_processed.csv,1,Fall,5,140,239,140,239,100,100,30,240,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0024__seq_0000,Fall_Fall_f_raw_b_1_B_D_0024,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0024_processed.csv,1,Fall,0,0,99,0,99,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0024__seq_0001,Fall_Fall_f_raw_b_1_B_D_0024,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0024_processed.csv,1,Fall,1,20,119,20,119,100,100,30,120,0,0,0.0666666666666666,train
Fall_Fall_f_raw_b_1_B_D_0026__seq_0000,Fall_Fall_f_raw_b_1_B_D_0026,C:\Users\ASUS\Downloads\3D_Human_Pose_NCKH\paper_baselines\lin2021_yolov8_lstm_gru\data\processed\Fall\Fall_Fall_f_raw_b_1_B_D_0026_processed.csv,1,Fall,0,0,99,0,99,100,100,30,240,0,0,0.0666666666666666,train
